max_door_frequency,radius,seed,turns,goal_reached,wait_penalty,wait_max_penalty,revisit_penalty,revisit_max_penalty,direction_vector_max_weight,direction_vector_multiplier,direction_vector_pov
20,5,0,10000,False,0.2,inf,0.15,2,3,0.02,25
20,5,1,328,False,0.2,inf,0.15,2,3,0.02,25
20,5,2,10000,False,0.2,inf,0.15,2,3,0.02,25
20,5,0,10000,False,0.2,inf,0.15,2,3,0.02,50
20,5,1,328,False,0.2,inf,0.15,2,3,0.02,50
20,5,2,10000,False,0.2,inf,0.15,2,3,0.02,50
20,5,0,10000,False,0.2,inf,0.15,2,5,0.02,25
20,5,1,328,False,0.2,inf,0.15,2,5,0.02,25
20,5,2,10000,False,0.2,inf,0.15,2,5,0.02,25
20,5,0,10000,False,0.2,inf,0.15,2,5,0.02,50
20,5,1,328,False,0.2,inf,0.15,2,5,0.02,50
20,5,2,10000,False,0.2,inf,0.15,2,5,0.02,50
20,5,0,10000,False,0.2,inf,0.15,5,3,0.02,25
20,5,1,10000,False,0.2,inf,0.15,5,3,0.02,25
20,5,2,10000,False,0.2,inf,0.15,5,3,0.02,25
20,5,0,10000,False,0.2,inf,0.15,5,3,0.02,50
20,5,1,2296,False,0.2,inf,0.15,5,3,0.02,50
20,5,2,10000,False,0.2,inf,0.15,5,3,0.02,50
20,5,0,10000,False,0.2,inf,0.15,5,5,0.02,25
20,5,1,421,False,0.2,inf,0.15,5,5,0.02,25
20,5,2,10000,False,0.2,inf,0.15,5,5,0.02,25
20,5,0,10000,False,0.2,inf,0.15,5,5,0.02,50
20,5,1,689,False,0.2,inf,0.15,5,5,0.02,50
20,5,2,10000,False,0.2,inf,0.15,5,5,0.02,50
20,5,0,10000,False,0.2,inf,0.3,2,3,0.02,25
20,5,1,10000,False,0.2,inf,0.3,2,3,0.02,25
20,5,2,10000,False,0.2,inf,0.3,2,3,0.02,25
20,5,0,10000,False,0.2,inf,0.3,2,3,0.02,50
20,5,1,10000,False,0.2,inf,0.3,2,3,0.02,50
20,5,2,10000,False,0.2,inf,0.3,2,3,0.02,50
20,5,0,10000,False,0.2,inf,0.3,2,5,0.02,25
20,5,1,10000,False,0.2,inf,0.3,2,5,0.02,25
20,5,2,10000,False,0.2,inf,0.3,2,5,0.02,25
20,5,0,10000,False,0.2,inf,0.3,2,5,0.02,50
20,5,1,617,False,0.2,inf,0.3,2,5,0.02,50
20,5,2,10000,False,0.2,inf,0.3,2,5,0.02,50
20,5,0,10000,False,0.2,inf,0.3,5,3,0.02,25
20,5,1,328,False,0.2,inf,0.3,5,3,0.02,25
20,5,2,10000,False,0.2,inf,0.3,5,3,0.02,25
20,5,0,10000,False,0.2,inf,0.3,5,3,0.02,50
20,5,1,328,False,0.2,inf,0.3,5,3,0.02,50
20,5,2,10000,False,0.2,inf,0.3,5,3,0.02,50
20,5,0,3511,False,0.2,inf,0.3,5,5,0.02,25
20,5,1,328,False,0.2,inf,0.3,5,5,0.02,25
20,5,2,10000,False,0.2,inf,0.3,5,5,0.02,25
20,5,0,10000,False,0.2,inf,0.3,5,5,0.02,50
20,5,1,328,False,0.2,inf,0.3,5,5,0.02,50
20,5,2,9937,False,0.2,inf,0.3,5,5,0.02,50
20,5,0,10000,False,0.4,inf,0.15,2,3,0.02,25
20,5,1,1624,False,0.4,inf,0.15,2,3,0.02,25
20,5,2,10000,False,0.4,inf,0.15,2,3,0.02,25
20,5,0,10000,False,0.4,inf,0.15,2,3,0.02,50
20,5,1,861,False,0.4,inf,0.15,2,3,0.02,50
20,5,2,10000,False,0.4,inf,0.15,2,3,0.02,50
20,5,0,10000,False,0.4,inf,0.15,2,5,0.02,25
20,5,1,1073,False,0.4,inf,0.15,2,5,0.02,25
20,5,2,10000,False,0.4,inf,0.15,2,5,0.02,25
20,5,0,10000,False,0.4,inf,0.15,2,5,0.02,50
20,5,1,10000,False,0.4,inf,0.15,2,5,0.02,50
20,5,2,10000,False,0.4,inf,0.15,2,5,0.02,50
20,5,0,10000,False,0.4,inf,0.15,5,3,0.02,25
20,5,1,10000,False,0.4,inf,0.15,5,3,0.02,25
20,5,2,10000,False,0.4,inf,0.15,5,3,0.02,25
20,5,0,10000,False,0.4,inf,0.15,5,3,0.02,50
20,5,1,10000,False,0.4,inf,0.15,5,3,0.02,50
20,5,2,10000,False,0.4,inf,0.15,5,3,0.02,50
20,5,0,10000,False,0.4,inf,0.15,5,5,0.02,25
20,5,1,1037,False,0.4,inf,0.15,5,5,0.02,25
20,5,2,10000,False,0.4,inf,0.15,5,5,0.02,25
20,5,0,10000,False,0.4,inf,0.15,5,5,0.02,50
20,5,1,832,False,0.4,inf,0.15,5,5,0.02,50
20,5,2,10000,False,0.4,inf,0.15,5,5,0.02,50
20,5,0,10000,False,0.4,inf,0.3,2,3,0.02,25
20,5,1,10000,False,0.4,inf,0.3,2,3,0.02,25
20,5,2,6469,False,0.4,inf,0.3,2,3,0.02,25
20,5,0,10000,False,0.4,inf,0.3,2,3,0.02,50
20,5,1,865,False,0.4,inf,0.3,2,3,0.02,50
20,5,2,10000,False,0.4,inf,0.3,2,3,0.02,50
20,5,0,10000,False,0.4,inf,0.3,2,5,0.02,25
20,5,1,10000,False,0.4,inf,0.3,2,5,0.02,25
20,5,2,10000,False,0.4,inf,0.3,2,5,0.02,25
20,5,0,10000,False,0.4,inf,0.3,2,5,0.02,50
20,5,1,10000,False,0.4,inf,0.3,2,5,0.02,50
20,5,2,10000,False,0.4,inf,0.3,2,5,0.02,50
20,5,0,10000,False,0.4,inf,0.3,5,3,0.02,25
20,5,1,1297,False,0.4,inf,0.3,5,3,0.02,25
20,5,2,8911,False,0.4,inf,0.3,5,3,0.02,25
20,5,0,10000,False,0.4,inf,0.3,5,3,0.02,50
20,5,1,1297,False,0.4,inf,0.3,5,3,0.02,50
20,5,2,10000,False,0.4,inf,0.3,5,3,0.02,50
20,5,0,10000,False,0.4,inf,0.3,5,5,0.02,25
20,5,1,1297,False,0.4,inf,0.3,5,5,0.02,25
20,5,2,10000,False,0.4,inf,0.3,5,5,0.02,25
20,5,0,10000,False,0.4,inf,0.3,5,5,0.02,50
20,5,1,1163,False,0.4,inf,0.3,5,5,0.02,50
20,5,2,10000,False,0.4,inf,0.3,5,5,0.02,50
20,20,0,10000,False,0.2,inf,0.15,2,3,0.02,25
20,20,1,1,False,0.2,inf,0.15,2,3,0.02,25
20,20,2,10000,False,0.2,inf,0.15,2,3,0.02,25
20,20,0,10000,False,0.2,inf,0.15,2,3,0.02,50
20,20,1,1,False,0.2,inf,0.15,2,3,0.02,50
20,20,2,10000,False,0.2,inf,0.15,2,3,0.02,50
